sample	cohort	condition	role	tool	input_reads_used	expected_c2_reads_at_depth	candidate_reads	strict_c2_best_reads	c2_tied_best_reads	c2_supported_reads	non_c2_best_reads	unmapped_reads	strict_c2_best_rate	c2_tied_best_rate	c2_supported_rate	non_c2_best_rate	unmapped_rate	candidate_reads_per_million	strict_c2_best_reads_per_million	c2_supported_reads_per_million
2015_Yu_SZAXPI015233-19_zeroFna_rank4_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	721	321	87	408	3	310	0.445215	0.120666	0.565881	0.004161	0.429958	240.33333333333334	107.0	136.0
2015_Yu_SZAXPI015233-19_zeroFna_rank4_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	2177	28	59	87	17	2073	0.012862	0.027102	0.039963	0.007809	0.952228	725.6666666666666	9.333333333333332	29.0
2015_Yu_SZAXPI015233-19_zeroFna_rank4_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	222	221	0	221	0	1	0.995495	0.0	0.995495	0.0	0.004505	74.0	73.66666666666666	73.66666666666666
2015_Yu_SZAXPI015234-20_zeroFna_rank45_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	616	305	65	370	8	238	0.49513	0.105519	0.600649	0.012987	0.386364	205.33333333333331	101.66666666666667	123.33333333333334
2015_Yu_SZAXPI015234-20_zeroFna_rank45_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1891	74	31	105	11	1775	0.039133	0.016393	0.055526	0.005817	0.938657	630.3333333333334	24.666666666666664	35.0
2015_Yu_SZAXPI015234-20_zeroFna_rank45_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	154	154	0	154	0	0	1.0	0.0	1.0	0.0	0.0	51.33333333333333	51.33333333333333	51.33333333333333
2015_Yu_SZAXPI015235-21_zeroFna_rank10_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	623	236	40	276	5	342	0.378812	0.064205	0.443018	0.008026	0.548957	207.66666666666666	78.66666666666666	92.0
2015_Yu_SZAXPI015235-21_zeroFna_rank10_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	2348	86	381	467	49	1832	0.036627	0.162266	0.198893	0.020869	0.780239	782.6666666666666	28.666666666666668	155.66666666666666
2015_Yu_SZAXPI015235-21_zeroFna_rank10_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	127	126	0	126	0	1	0.992126	0.0	0.992126	0.0	0.007874	42.33333333333333	42.0	42.0
2015_Yu_SZAXPI015237-23_c2Positive_rank8_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	3000000	1242.6	1352	773	168	941	112	299	0.571746	0.12426	0.696006	0.08284	0.221154	450.66666666666663	257.6666666666667	313.6666666666667
2015_Yu_SZAXPI015237-23_c2Positive_rank8_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	3000000	1242.6	3470	955	495	1450	204	1816	0.275216	0.142651	0.417867	0.05879	0.523343	1156.6666666666667	318.3333333333333	483.3333333333333
2015_Yu_SZAXPI015237-23_c2Positive_rank8_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	3000000	1242.6	161	144	10	154	6	1	0.89441	0.062112	0.956522	0.037267	0.006211	53.666666666666664	48.0	51.33333333333333
2015_Yu_SZAXPI015238-24_zeroFna_rank17_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	516	265	33	298	1	217	0.513566	0.063953	0.577519	0.001938	0.420543	172.0	88.33333333333333	99.33333333333334
2015_Yu_SZAXPI015238-24_zeroFna_rank17_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1958	123	79	202	10	1746	0.062819	0.040347	0.103166	0.005107	0.891726	652.6666666666666	41.0	67.33333333333333
2015_Yu_SZAXPI015238-24_zeroFna_rank17_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	83	83	0	83	0	0	1.0	0.0	1.0	0.0	0.0	27.666666666666668	27.666666666666668	27.666666666666668
2015_Yu_SZAXPI015239-25_zeroFna_rank18_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	268	73	19	92	1	175	0.272388	0.070896	0.343284	0.003731	0.652985	89.33333333333333	24.333333333333332	30.666666666666668
2015_Yu_SZAXPI015239-25_zeroFna_rank18_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1884	7	31	38	0	1846	0.003715	0.016454	0.02017	0.0	0.97983	628.0	2.333333333333333	12.666666666666666
2015_Yu_SZAXPI015239-25_zeroFna_rank18_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	40	40	0	40	0	0	1.0	0.0	1.0	0.0	0.0	13.333333333333334	13.333333333333334	13.333333333333334
2015_Yu_SZAXPI015240-26_zeroFna_rank39_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	344	139	20	159	6	179	0.40407	0.05814	0.462209	0.017442	0.520349	114.66666666666667	46.333333333333336	53.0
2015_Yu_SZAXPI015240-26_zeroFna_rank39_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1995	26	88	114	15	1866	0.013033	0.04411	0.057143	0.007519	0.935338	665.0	8.666666666666666	38.0
2015_Yu_SZAXPI015240-26_zeroFna_rank39_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	82	82	0	82	0	0	1.0	0.0	1.0	0.0	0.0	27.333333333333336	27.333333333333336	27.333333333333336
2015_Yu_SZAXPI015241-27_zeroFna_rank69_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	661	307	41	348	7	306	0.464448	0.062027	0.526475	0.01059	0.462935	220.33333333333334	102.33333333333333	116.0
2015_Yu_SZAXPI015241-27_zeroFna_rank69_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1798	132	34	166	15	1617	0.073415	0.01891	0.092325	0.008343	0.899333	599.3333333333334	44.0	55.333333333333336
2015_Yu_SZAXPI015241-27_zeroFna_rank69_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	110	110	0	110	0	0	1.0	0.0	1.0	0.0	0.0	36.666666666666664	36.666666666666664	36.666666666666664
2015_Yu_SZAXPI015242-30_zeroFna_rank68_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	639	286	52	338	2	299	0.447574	0.081377	0.528951	0.00313	0.467919	213.0	95.33333333333334	112.66666666666666
2015_Yu_SZAXPI015242-30_zeroFna_rank68_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1910	23	37	60	5	1845	0.012042	0.019372	0.031414	0.002618	0.965969	636.6666666666666	7.666666666666667	20.0
2015_Yu_SZAXPI015242-30_zeroFna_rank68_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	184	184	0	184	0	0	1.0	0.0	1.0	0.0	0.0	61.333333333333336	61.333333333333336	61.333333333333336
2015_Yu_SZAXPI015243-31_zeroFna_rank55_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	473	241	34	275	3	195	0.509514	0.071882	0.581395	0.006342	0.412262	157.66666666666666	80.33333333333334	91.66666666666667
2015_Yu_SZAXPI015243-31_zeroFna_rank55_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	2117	131	29	160	14	1943	0.06188	0.013699	0.075579	0.006613	0.917808	705.6666666666666	43.666666666666664	53.333333333333336
2015_Yu_SZAXPI015243-31_zeroFna_rank55_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	76	76	0	76	0	0	1.0	0.0	1.0	0.0	0.0	25.333333333333332	25.333333333333332	25.333333333333332
2015_Yu_SZAXPI015244-32_zeroFna_rank49_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	975	412	31	443	11	521	0.422564	0.031795	0.454359	0.011282	0.534359	325.0	137.33333333333331	147.66666666666666
2015_Yu_SZAXPI015244-32_zeroFna_rank49_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	7992	197	4748	4945	337	2710	0.02465	0.594094	0.618744	0.042167	0.339089	2664.0	65.66666666666667	1648.3333333333333
2015_Yu_SZAXPI015244-32_zeroFna_rank49_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	205	205	0	205	0	0	1.0	0.0	1.0	0.0	0.0	68.33333333333333	68.33333333333333	68.33333333333333
2015_Yu_SZAXPI015245-33_zeroFna_rank78_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	393	117	25	142	4	247	0.29771	0.063613	0.361323	0.010178	0.628499	131.0	39.0	47.333333333333336
2015_Yu_SZAXPI015245-33_zeroFna_rank78_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1917	28	183	211	30	1676	0.014606	0.095462	0.110068	0.015649	0.874283	639.0	9.333333333333332	70.33333333333334
2015_Yu_SZAXPI015245-33_zeroFna_rank78_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	55	55	0	55	0	0	1.0	0.0	1.0	0.0	0.0	18.333333333333332	18.333333333333332	18.333333333333332
2015_Yu_SZAXPI015246-34_zeroFna_rank81_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	770	427	62	489	12	269	0.554545	0.080519	0.635065	0.015584	0.349351	256.66666666666663	142.33333333333334	163.0
2015_Yu_SZAXPI015246-34_zeroFna_rank81_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	2104	61	147	208	33	1863	0.028992	0.069867	0.098859	0.015684	0.885456	701.3333333333334	20.333333333333336	69.33333333333333
2015_Yu_SZAXPI015246-34_zeroFna_rank81_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	308	307	1	308	0	0	0.996753	0.003247	1.0	0.0	0.0	102.66666666666666	102.33333333333333	102.66666666666666
