sample	cohort	condition	role	tool	signal_unit	input_reads_used	paper_fna_c2_percent	expected_c2_reads_at_depth	fna_c2_signal	fna_c1_signal	non_c1c2_signal	other_or_unmapped_signal
2015_Yu_SZAXPI003420-4_zeroFna_rank12_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003421-5_zeroFna_rank41_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	153.0	28.666667	163.666667	999654.666667
2015_Yu_SZAXPI003421-5_zeroFna_rank41_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	585.0	165.333333	1193.0	998056.666667
2015_Yu_SZAXPI003421-5_zeroFna_rank41_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	29.666667	0.0	1.333333	999969.0
2015_Yu_SZAXPI003421-5_zeroFna_rank41_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003422-11_c2Positive_rank15_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.01068	320.4	270.333333	50.0	612.666667	999067.0
2015_Yu_SZAXPI003422-11_c2Positive_rank15_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.01068	320.4	638.666667	153.0	1995.333333	997213.0
2015_Yu_SZAXPI003422-11_c2Positive_rank15_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.01068	320.4	38.0	0.666667	53.0	999908.333333
2015_Yu_SZAXPI003422-11_c2Positive_rank15_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.01068	320.4	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI003423-8_zeroFna_rank95_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	221.666667	36.333333	363.666667	999378.333333
2015_Yu_SZAXPI003423-8_zeroFna_rank95_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	1592.333333	204.666667	1283.0	996920.0
2015_Yu_SZAXPI003423-8_zeroFna_rank95_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	16.666667	0.0	40.0	999943.333333
