dataset	sample_id	tool	db	run_elapsed_seconds	resource_max_rss_gb	per_read_truth_mapped_rate_species	per_read_pred_mapped_rate_species	per_read_precision_species	per_read_recall_species	per_read_f1_species	per_read_truth_mapped_rate_genus	per_read_pred_mapped_rate_genus	per_read_precision_genus	per_read_recall_genus	per_read_f1_genus	status	paper_scope	tool_version
prjna637878-supported19-single-read	1001175B	kraken2	cami_refseq	496.38256072998047	123.44792556762695	1.0	0.6793276381446366	0.5800698064225686	0.5319275518369707	0.5549565558462161	1.0	0.8693086867688113	0.8597536032486578	0.7883993000420366	0.8225318629800793	complete	main	2.1.3
prjna637878-supported19-single-read	1001216B	centrifuger	cami_refseq	781.7722754478455	141.32601928710938	1.0	0.6257638862948713	0.5427478890457823	0.5348259310447873	0.538757790268338	1.0	0.8830983153412274	0.8768093554837426	0.8640114302790333	0.8703633498741798	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001216B	chimera	cami_refseq	1516.6118166446686	74.20921325683594	1.0	0.9621175899294012	0.7096519954885787	0.6827686675880618	0.6959508146630787	1.0	0.9566760673863509	0.7554475799641649	0.7268294049531209	0.7408622283226898	complete	main	1.7
prjna637878-supported19-single-read	1001216B	kraken2	cami_refseq	203.87108325958252	121.3488540649414	1.0	0.5231799335101416	0.4418840829826415	0.43517518957080426	0.4385039770925492	1.0	0.8035420791154607	0.7942189417228817	0.7821607336296739	0.7881437192237589	complete	main	2.1.3
prjna637878-supported19-single-read	1001217B	centrifuger	cami_refseq	1046.2248320579529	141.32206344604492	1.0	0.8007579526877273	0.7569563577933968	0.7199128968266789	0.737970057411213	0.865144084242812	0.7378849264555427	0.8002666736045165	0.7657957534422214	0.7826518402888434	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001217B	chimera	cami_refseq	1551.0534250736237	71.91563034057617	1.0	0.9334190580192429	0.822465306461513	0.7677065631077998	0.7941431058895351	0.865144084242812	0.8253822610208992	0.8432934962279531	0.7893849748485373	0.8154492474821772	complete	main	1.7
prjna637878-supported19-single-read	1001217B	kraken2	cami_refseq	259.7339241504669	122.01065444946289	1.0	0.7907843808760718	0.755522577043779	0.7171408447973947	0.7358315432147877	0.865144084242812	0.7286695227202726	0.799144385584383	0.7631679515219716	0.7807419415842459	complete	main	2.1.3
prjna637878-supported19-single-read	1001254A	centrifuger	cami_refseq	968.2889451980591	141.32861709594727	1.0	0.24372314032210587	0.12075132960773197	0.12037172532694168	0.12056122865847752	1.0	0.9495462764391741	0.5171583515563835	0.5155325680164837	0.5163441800365739	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001254A	chimera	cami_refseq	1783.6559002399445	73.8677978515625	1.0	0.9646314284512847	0.5864323732884624	0.5656910979353266	0.5758750366538317	1.0	0.9623640721584458	0.9783477696066678	0.9437450065178083	0.9607349173496229	complete	main	1.7
prjna637878-supported19-single-read	1001254A	kraken2	cami_refseq	254.11540603637695	121.46073913574219	1.0	0.2104991379672848	0.09987973922400152	0.09953324082250536	0.0997061889868259	1.0	0.9382893906900467	0.4976576576576577	0.49593120558429	0.4967929316863067	complete	main	2.1.3
prjna637878-supported19-single-read	1001262B	centrifuger	cami_refseq	1620.1939392089844	141.26918411254883	1.0	0.8551843513898968	0.8253167136441371	0.7910633733686034	0.807827105565765	1.0	0.9157129314539825	0.8806988912497178	0.8441470096465188	0.8620356578650418	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001262B	chimera	cami_refseq	1934.4899156093597	71.48163986206055	1.0	0.9631238287031503	0.8568208002545485	0.8252252510132296	0.84072628027097	1.0	0.9571210638953481	0.8884968871996686	0.8557332718183241	0.8718073636702045	complete	main	1.7
prjna637878-supported19-single-read	1001262B	kraken2	cami_refseq	405.51950693130493	122.65555191040039	1.0	0.850098418401968	0.824868044579427	0.7895555259954234	0.8068255873925625	1.0	0.9129742226293288	0.8800144599041108	0.8423411287891927	0.860765777256043	complete	main	2.1.3
prjna637878-supported19-single-read	1001270B	centrifuger	cami_refseq	1184.1738967895508	141.32706832885742	1.0	0.7937918380969756	0.7434786495045459	0.7105137753392963	0.7266225230855246	1.0	0.9182345306963726	0.87407166206967	0.8353164639604321	0.854254734650236	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001270B	chimera	cami_refseq	2199.1760499477386	74.26751708984375	1.0	0.9429296476249109	0.9157312968089361	0.8634724239996534	0.8888343851131415	1.0	0.9364100586549451	0.9322068775406406	0.8790077777445578	0.9048260441511988	complete	main	1.7
prjna637878-supported19-single-read	1001270B	kraken2	cami_refseq	236.33823657035828	121.98510360717773	1.0	0.7688849946946349	0.7188351282282093	0.6870273908159523	0.7025714333848939	1.0	0.90592876838039	0.858160850415638	0.8201880887689174	0.8387449014037401	complete	main	2.1.3
prjna637878-supported19-single-read	1001275B	centrifuger	cami_refseq	1038.5924098491669	141.3268814086914	1.0	0.5912668752220889	0.3548645029815226	0.33548549459022065	0.3449030019961627	1.0	0.8923096209148602	0.8632716889445878	0.8161287677353012	0.8390385472586679	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001275B	chimera	cami_refseq	1103.9285531044006	71.5448112487793	1.0	0.8859370243055981	0.6259011251829912	0.5545101602433293	0.5880467892957366	1.0	0.8742983875756516	0.843840431688966	0.7475910717668804	0.7928051837062101	complete	main	1.7
prjna637878-supported19-single-read	1001275B	kraken2	cami_refseq	245.2260823249817	122.00190353393555	1.0	0.5824040552373394	0.3546376749304576	0.33442135295853054	0.34423295032836626	1.0	0.8892095661525672	0.863897831916831	0.8146508456108634	0.8385519094138112	complete	main	2.1.3
prjna637878-supported19-single-read	1001283B	centrifuger	cami_refseq	3373.629390001297	141.33298110961914	1.0	0.7481021343767101	0.6605870486262897	0.6290644012819422	0.6444404746232352	1.0	0.8463521431117687	0.7730592320439825	0.7361695085795423	0.7541635268906648	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001283B	chimera	cami_refseq	5979.5589599609375	73.73204803466797	1.0	0.929767128699458	0.8172728261992239	0.7598746352979106	0.7875292652184969	1.0	0.9217733176223749	0.8453145057766367	0.7859469092790758	0.8145504050449532	complete	main	1.7
prjna637878-supported19-single-read	1001283B	kraken2	cami_refseq	733.1545524597168	123.82853317260742	1.0	0.7419395774032289	0.6568651548169689	0.6244164927336103	0.6402299400039452	1.0	0.8454921417698922	0.7739202319187779	0.7356891339516397	0.7543205786083487	complete	main	2.1.3
prjna637878-supported19-single-read	1001295B	centrifuger	cami_refseq	1165.8777463436127	141.32519912719727	1.0	0.5565858572658051	0.45545817080412715	0.41620155166069905	0.4349458682550765	1.0	0.8620760022321328	0.7936708536458993	0.7252631788602915	0.7579265905764607	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001295B	chimera	cami_refseq	3537.125278711319	74.31585311889648	1.0	0.9002172380886821	0.8306185068810322	0.7477400005660699	0.7870033073917797	1.0	0.889363719876429	0.8595784239709504	0.7738103183374875	0.8144425593982629	complete	main	1.7
prjna637878-supported19-single-read	1001295B	kraken2	cami_refseq	247.87821674346924	121.5205192565918	1.0	0.5176835717757511	0.43338339057637815	0.3940884823279593	0.41280291995649493	1.0	0.8482673890930895	0.7867353941854183	0.7154020302344264	0.749374976094357	complete	main	2.1.3
prjna637878-supported19-single-read	1001302B	centrifuger	cami_refseq	2017.8711292743683	141.3447036743164	1.0	0.5452450709496484	0.15692503050859535	0.14105782656937146	0.14856897443655992	1.0	0.737260105018439	0.3913847817616829	0.3518105842560714	0.37054404544611563	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001302B	chimera	cami_refseq	5633.05260014534	80.63179016113281	1.0	0.4940328275665321	0.5559525678223175	0.27465881907413375	0.3676744098340806	1.0	0.49402155853911295	0.5842460196810703	0.2886367130975309	0.38638603887661543	complete	main	1.7
prjna637878-supported19-single-read	1001302B	kraken2	cami_refseq	481.89923429489136	122.70853424072266	1.0	0.5425588906769409	0.15504232077512464	0.13877169677004467	0.1464564972419801	1.0	0.7337453546770689	0.3892931495393693	0.34843951401429596	0.3677351499693362	complete	main	2.1.3
prjna637878-supported19-single-read	1001713B	centrifuger	cami_refseq	1705.557232618332	141.34508514404297	1.0	0.43448661480402384	0.2168346235685383	0.20955951294808325	0.21313500451257983	1.0	0.8631321729419869	0.76856671908885	0.7427802104190101	0.7554534808387888	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001713B	chimera	cami_refseq	2487.0119438171387	71.72404861450195	1.0	0.8985719669782651	0.7013335237767984	0.6302015952246883	0.663867590364617	1.0	0.8837222330199991	0.7689995893562787	0.6910047096132973	0.7279188675141748	complete	main	1.7
prjna637878-supported19-single-read	1001713B	kraken2	cami_refseq	555.132429599762	122.84233856201172	1.0	0.3982312452478458	0.19794949696035677	0.19116869263060057	0.19450001337935832	1.0	0.8582466099437093	0.7664650404945347	0.7402096089577072	0.7531085601134571	complete	main	2.1.3
prjna637878-supported19-single-read	D43_t1	centrifuger	cami_refseq	497.14445543289185	141.32976150512695	1.0	0.6678725808730046	0.5537220847367277	0.5253171351885859	0.5391457397900378	1.0	0.7621344822715073	0.6612809081785505	0.6273583839525356	0.6438731527539968	complete	main	1.1.0-r291
prjna637878-supported19-single-read	D43_t1	chimera	cami_refseq	551.4157841205597	70.41857528686523	1.0	0.9033903093657296	0.7029913527544527	0.6350755756462777	0.6673098759842957	1.0	0.8904421528464472	0.7841425466372691	0.7083867777934737	0.744342108192755	complete	main	1.7
prjna637878-supported19-single-read	D43_t1	kraken2	cami_refseq	224.21868014335632	121.71778106689453	1.0	0.6629043650233084	0.567843920694372	0.5195719734425767	0.542636516669101	1.0	0.7660841926825823	0.6917520170690512	0.63294674389038	0.6610441553766462	complete	main	2.1.3
prjna637878-supported19-single-read	J1100102	centrifuger	cami_refseq	860.7106997966766	141.33543014526367	1.0	0.5023677041083233	0.2069562341915761	0.19984509712002935	0.2033385121344668	1.0	0.780347036803022	0.7392168519997326	0.7138169292542241	0.7262948875036509	complete	main	1.1.0-r291
prjna637878-supported19-single-read	J1100102	chimera	cami_refseq	2538.6447398662567	79.02618026733398	1.0	0.7206754580845036	0.9308841344136959	0.6708653499921869	0.7797697663904732	1.0	0.7206380911617036	0.9336840269430736	0.6728831638233835	0.782115140495411	complete	main	1.7
prjna637878-supported19-single-read	J1100102	kraken2	cami_refseq	254.13433074951172	121.77227401733398	1.0	0.4775798463200375	0.18677114023323513	0.18024444761497121	0.18344976135281235	1.0	0.7453240391605351	0.7082800933503701	0.6835293398283839	0.6956846434294663	complete	main	2.1.3
prjna637878-supported19-single-read	J1101004	centrifuger	cami_refseq	670.2194192409515	141.2593536376953	1.0	0.546901162367444	0.3657544165422495	0.34628357882986727	0.35575278048719683	1.0	0.8045997233614016	0.6983230916116134	0.6611480501832124	0.679227290999916	complete	main	1.1.0-r291
prjna637878-supported19-single-read	J1101004	chimera	cami_refseq	1229.764895439148	79.20174789428711	1.0	0.4032614234754544	0.8043085810566856	0.3243466233104419	0.4622754076815329	1.0	0.4005617704870295	0.8509146708388494	0.34314106141862216	0.4890622027772493	complete	main	1.7
prjna637878-supported19-single-read	J1101004	kraken2	cami_refseq	199.27587747573853	121.56170272827148	1.0	0.5218641558882768	0.34615384615384615	0.3264517459778204	0.3360142370976303	1.0	0.7930185153728554	0.6938901540005403	0.6543958843941857	0.6735645820974742	complete	main	2.1.3
prjna637878-supported19-single-read	J1101437	centrifuger	cami_refseq	1566.9376244544983	141.21234893798828	1.0	0.7833384019395234	0.672082730792555	0.6551831945861601	0.6635253752351291	1.0	0.8703640017166943	0.8297511312217195	0.8088870193469172	0.8191862481668204	complete	main	1.1.0-r291
prjna637878-supported19-single-read	J1101437	chimera	cami_refseq	1310.6424489021301	70.75060272216797	1.0	0.9460548716884711	0.8449888842155862	0.7994082520698388	0.8215668490825896	1.0	0.9393643115174839	0.8892417232470108	0.8412739917973846	0.8645930547583683	complete	main	1.7
prjna637878-supported19-single-read	J1101437	kraken2	cami_refseq	383.2091999053955	121.91390609741211	1.0	0.7698634886979556	0.665427314009549	0.6480520920079923	0.6566247798747572	1.0	0.8631391062389332	0.8294567082637778	0.8077984532698195	0.8184843288105965	complete	main	2.1.3
prjna637878-supported19-single-read	J1101653	centrifuger	cami_refseq	846.9105403423309	141.33349227905273	1.0	0.6761924997344099	0.44707347447073476	0.43859555933283756	0.442793940206462	1.0	0.7489110804206948	0.530564730088256	0.5205035589078933	0.5254859900790991	complete	main	1.1.0-r291
prjna637878-supported19-single-read	J1101653	chimera	cami_refseq	2400.2981181144714	74.28167724609375	1.0	0.947360033995538	0.6178301093355761	0.5853075533836184	0.6011292654319305	1.0	0.9225539147986827	0.6201850294365012	0.5875385105704877	0.6034205286271513	complete	main	1.7
prjna637878-supported19-single-read	J1101653	kraken2	cami_refseq	187.72637939453125	121.48904037475586	1.0	0.6489429512376501	0.43296512887156163	0.4247317539572931	0.4288089236874565	1.0	0.7314883671518113	0.5211717565518735	0.5112610219908637	0.5161688207218319	complete	main	2.1.3
